type,name,usage_count,node_types,civitai_name,civitai_id,version,download_url,page_url,workflows
unet,LTX-2-dev-Q4_K_M.gguf,1,UnetLoaderGGUF,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,高质量LTX-2.3图生视频MV制作工作流_大尸兄(1).json
upscale_model,ltx-2.3-spatial-upscaler-x2-1.0.safetensors,32,LatentUpscaleModelLoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,1(1).json; 10Eros_i2v(1).json; LTX 2.3 数字人对口型工作流V3 - By：肥猴(1).json
upscale_model,4x-UltraSharp.pth,14,UpscaleModelLoader,4x_NMKD-Siax_200k,1813922,,https://civitai.com/api/download/models/2052724,https://civitai.com/models/1813922,q0403 (33)(1).json; Ultimate Creative Workflow(2).json; ▶Z-image超越真实多宫格高清生图流(1).json
upscale_model,ltx-2-spatial-upscaler-x2-1.0.safetensors,11,LatentUpscaleModelLoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,LTX-2 - T2V Basic.json; ltx-video-and-audio-extend.json; LTX2-I2V(1).json
upscale_model,ltx-2.3-spatial-upscaler-x2-1.1.safetensors,10,LatentUpscaleModelLoader,"LTX-2.3, simple workflow. T2V,  I2V, I2V external audio, FFLF",2593905,,https://civitai.com/api/download/models/2918575,https://civitai.com/models/2593905,10Eros_10SNodes_TripleSample_Custom-Audio-Music-Video(1).json; 10Eros_10SNodes_TripleSample_I2V(1).json; 10Eros_10SNodes_TripleSample_I2V(2).json
upscale_model,4x_foolhardy_Remacri.safetensors,4,UpscaleModelLoader,4x_NMKD-Siax_200k,1813922,,https://civitai.com/api/download/models/2052724,https://civitai.com/models/1813922,amazing-z-image-a_SAFETENSORS.json; amazing-z-image-a_SAFETENSORS.json; amazing-z-image-b_SAFETENSORS(1).json
upscale_model,4x-ClearRealityV1_Soft.pth,3,UpscaleModelLoader,4x_NMKD-Siax_200k,1813922,,https://civitai.com/api/download/models/2052724,https://civitai.com/models/1813922,10Eros_i2v(1).json; QWEN2509极限姿态参考技巧(1).json; Work-Fisher_SeedVR2-V2.json
upscale_model,RealESRGAN_x4plus_anime_6B.pth,3,UpscaleModelLoader,RealESRGAN_x4Plus Anime 6B,147821,,https://civitai.com/api/download/models/164904,https://civitai.com/models/147821,SimpleFlow v1.03(1).json; SimpleFlow v1.03(1).json; 群友的流.json
upscale_model,4x-ClearRealityV1.pth,3,UpscaleModelLoader,4x_NMKD-Siax_200k,1813922,,https://civitai.com/api/download/models/2052724,https://civitai.com/models/1813922,Z-Image：亿级像素文生图，细节纤毫毕现，定义超高清影像新标准！高清放大(1).json; ▶Zimage-4K洗图+CN2.1控制.json; 骨骼姿态控制 人物一致性 一张图生成多姿势 写真图片 9月最新升级(1).json
upscale_model,放大\4x_Nickelback_70000G.safetensors,2,UpscaleModelLoader,4x_NMKD-Siax_200k,1813922,,https://civitai.com/api/download/models/2052724,https://civitai.com/models/1813922,实验1.json; 实验1.json
upscale_model,4xNomos8kSCHAT-L.pth,1,UpscaleModelLoader,Pony Diffusion V6 XL,257749,,https://civitai.com/api/download/models/290640,https://civitai.com/models/257749,1 Wan2.2质量文生图+TTP高阶放大（全网ID ：楚门的AI世界）(1).json
